Welcome to SHARC!

         41793450 function calls (41758184 primitive calls) in 87.491 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 image.py:1(<module>)
     6216    0.003    0.000    0.009    0.000 scanner.py:135(get_token)
       13    0.000    0.000    0.009    0.001 construction.py:423(dict_to_mgr)
     2785    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.009    0.009 sync.py:1(<module>)
      954    0.000    0.000    0.009    0.000 artist.py:1542(is_alias)
        1    0.000    0.000    0.009    0.009 Image.py:1(<module>)
      247    0.000    0.000    0.009    0.000 _docscrape.py:206(_read_sections)
        1    0.000    0.000    0.009    0.009 utils.py:1239(check_support_sve)
      244    0.001    0.000    0.009    0.000 _docscrape.py:195(_read_to_next_section)
        1    0.000    0.000    0.009    0.009 subprocess.py:506(run)
